name,category_x,score_x,category_y,score_y
NC_007636,Phage,0.996676921844482,Phage,0.989909529685974
NC_030928,Phage,0.928595304489135,Phage,0.9556273818016052
NC_030937,Phage,0.939341843128204,Phage,0.9401245713233948
NC_041844,Phage,0.908992171287536,Phage,0.9011868834495544
NC_041845,Phage,0.888241410255432,Phage,0.9103559255599976
NC_041846,Phage,0.940102934837341,Phage,0.9455305933952332
NC_041847,Phage,0.874104857444763,Phage,0.9179286360740662
NC_041848,Phage,0.734172940254211,Phage,0.9590544104576112
NC_041849,Phage,0.889682531356811,Phage,0.9016313552856444
NC_041850,Phage,0.935466170310974,Phage,0.9310212731361388
NC_041852,Phage,0.946950674057006,Phage,0.9428696036338806
NC_041853,Phage,0.939475178718566,Phage,0.9452319741249084
NC_041854,Phage,0.987247705459594,Phage,0.9999189376831056
NC_041855,Phage,0.915209114551544,Phage,0.938703179359436
NC_041856,Phage,0.981868386268615,Phage,0.9790381193161012
NC_041857,Phage,0.835396766662597,Phage,0.8762111067771912
NC_041858,Phage,0.994907200336456,Phage,0.960086703300476
NC_041859,Phage,0.75724846124649,Phage,0.9491685032844543
NC_041860,Phage,0.96075290441513,Phage,0.9408285617828368
NC_041861,Phage,0.960304975509643,Phage,0.9997326135635376
NC_041862,Phage,0.998133897781372,Phage,0.989573895931244
NC_041863,Phage,0.975614547729492,Phage,0.988739550113678
NC_041864,Phage,0.978551745414733,Phage,0.968660831451416
NC_041865,Phage,0.919360160827636,Phage,0.9682847261428832
NC_041866,Bacteria,0.49464538693428,Bacteria,0.4678641259670257
NC_041867,Phage,0.816779851913452,Phage,0.9374989867210388
NC_041868,Phage,0.88004332780838,Phage,0.9530441761016846
NC_041869,Phage,0.9675914645195,Phage,0.9739107489585876
NC_041870,Phage,0.910600841045379,Phage,0.9786179661750792
NC_041871,Phage,0.941357672214508,Phage,0.9888054728507996
NC_041872,Phage,0.949398756027221,Phage,0.955097794532776
NC_041873,Phage,0.959705591201782,Phage,0.9674376845359802
NC_041874,Phage,0.959573447704315,Phage,0.9339514374732972
NC_041875,Phage,0.928893327713012,Phage,0.8694804310798645
NC_041876,Phage,0.875925064086914,Phage,0.8579838275909424
NC_041877,Phage,0.884912610054016,Phage,0.8658363223075867
NC_041878,Phage,0.941028773784637,Phage,0.955830454826355
NC_041879,Phage,0.987985372543335,Phage,0.9978561997413636
NC_041880,Phage,0.995957612991333,Phage,0.9985554814338684
NC_041881,Phage,0.980464518070221,Phage,0.9813725352287292
NC_041882,Phage,0.935940206050872,Phage,0.9656633138656616
NC_041883,Phage,0.886850595474243,Phage,0.9511497020721436
NC_041884,Phage,0.911282241344451,Phage,0.9166524410247804
NC_041885,Phage,0.988658249378204,Phage,0.9826062917709352
NC_041886,Phage,0.946725964546203,Phage,0.9523305892944336
NC_041887,Phage,0.971188127994537,Phage,0.9770618677139282
NC_041888,Phage,0.87416124343872,Phage,0.8550513386726379
NC_041889,Phage,0.958543419837951,Phage,0.9283289909362792
NC_041890,Phage,0.880588889122009,Phage,0.9774892926216124
NC_041891,Phage,0.841908037662506,Phage,0.9716112017631532
NC_041892,Phage,0.884553611278533,Phage,0.9574113488197328
NC_041893,Phage,0.823075532913208,Phage,0.9533720016479492
NC_041894,Phage,0.814985871315002,Phage,0.9995711445808412
NC_041895,Phage,0.889985024929046,Phage,0.9746602177619934
NC_041896,Phage,0.936715245246887,Phage,0.9514361023902892
NC_041897,Phage,0.955696463584899,Phage,0.937251091003418
NC_041898,Phage,0.958195686340332,Phage,0.9670231938362122
NC_041899,Phage,0.949571907520294,Phage,0.9610198140144348
NC_041900,Phage,0.914995551109314,Phage,0.9522903561592102
NC_041901,Phage,0.950901269912719,Phage,0.9028570055961608
NC_041902,Phage,0.893117606639862,Phage,0.8873037099838257
NC_041903,Phage,0.993223488330841,Phage,0.9841824769973756
NC_041904,Phage,0.982165217399597,Phage,0.9995384216308594
NC_041905,Phage,0.986218869686126,Phage,0.998479664325714
NC_041906,Phage,0.983927547931671,Phage,0.9434087872505188
NC_041907,Phage,0.994391083717346,Phage,0.981847643852234
NC_041908,Phage,0.664346277713775,Phage,0.7782204151153564
NC_041909,Phage,0.849878907203674,Phage,0.9251237511634828
NC_041910,Phage,0.975045919418335,Phage,0.955309808254242
NC_041911,Phage,0.838522732257843,Phage,0.894938588142395
NC_041912,Phage,0.992223143577575,Phage,0.9874803423881532
NC_041913,Phage,0.944396138191223,Phage,0.9504268169403076
NC_041914,Phage,0.998165249824523,Phage,0.9879420399665833
NC_041915,Phage,0.992379069328308,Phage,0.9993605613708496
